"","var_name","var_desc","var_type","class"
"309","cv012_20","Whether spouse living in HH or not - 20th  hhmember ",0,"numeric"
"310","cv012_21","Whether spouse living in HH or not - 21st  hhmember ",0,"numeric"
"311","cv012_22","Whether spouse living in HH or not - 22nd  hhmember ",0,"numeric"
"312","cv012_23","Whether spouse living in HH or not - 23rd  hhmember ",0,"numeric"
"313","cv012_24","Whether spouse living in HH or not - 24th  hhmember ",0,"numeric"
"314","cv012_25","Whether spouse living in HH or not - 25th  hhmember ",0,"numeric"
"315","cv012_26","Whether spouse living in HH or not - 26th  hhmember ",0,"numeric"
"316","cv012_27","Whether spouse living in HH or not - 27th  hhmember ",0,"numeric"
"317","cv012_28","Whether spouse living in HH or not - 28th  hhmember ",0,"numeric"
"318","cv012_29","Whether spouse living in HH or not - 29th  hhmember ",0,"numeric"
"319","cv012_30","Whether spouse living in HH or not - 30th hhmember",0,"numeric"
"320","cv012_31","Whether spouse living in HH or not - 31st hhmember",0,"numeric"
"321","cv012_32","Whether spouse living in HH or not - 32nd hhmember",0,"numeric"
"322","cv012_33","Whether spouse living in HH or not - 33rd  hhmember ",0,"numeric"
"323","cv012_34","Whether spouse living in HH or not - 34th  hhmember ",0,"numeric"
"324","cv012_35","Whether spouse living in HH or not - 35th hhmember",0,"numeric"
"325","cv013_1_1","Spouse ID of hhmember-1",0,"numeric"
"326","cv013_1_2","Spouse ID of hhmember-2",0,"numeric"
"327","cv013_1_3","Spouse ID of hhmember-3",0,"numeric"
"328","cv013_1_4","Spouse ID of hhmember-4",0,"numeric"
"329","cv013_1_5","Spouse ID of hhmember-5",0,"numeric"
"330","cv013_1_6","Spouse ID of hhmember-6",0,"numeric"
"331","cv013_1_7","Spouse ID of hhmember-7",0,"numeric"
"332","cv013_1_8","Spouse ID of hhmember-8",0,"numeric"
"333","cv013_1_9","Spouse ID of hhmember-9",0,"numeric"
"334","cv013_1_10","Spouse ID of hhmember-10",0,"numeric"
"335","cv013_1_11","Spouse ID of hhmember-11",0,"numeric"
"336","cv013_1_12","Spouse ID of hhmember-12",0,"numeric"
"337","cv013_1_13","Spouse ID of hhmember-13",0,"numeric"
"338","cv013_1_14","Spouse ID of hhmember-14",0,"numeric"
"339","cv013_1_15","Spouse ID of hhmember-15",0,"numeric"
"340","cv013_1_16","Spouse ID of hhmember-16",0,"numeric"
"341","cv013_1_17","Spouse ID of hhmember-17",0,"numeric"
"342","cv013_1_18","Spouse ID of hhmember-18",0,"numeric"
"343","cv013_1_19","Spouse ID of hhmember-19",0,"numeric"
"344","cv013_1_20","Spouse ID of hhmember-20",0,"numeric"
"345","cv013_1_21","Spouse ID of hhmember-21",0,"numeric"
"346","cv013_1_22","Spouse ID of hhmember-22",0,"numeric"
"347","cv013_1_23","Spouse ID of hhmember-23",0,"numeric"
"348","cv013_1_24","Spouse ID of hhmember-24",0,"numeric"
"349","cv013_1_25","Spouse ID of hhmember-25",0,"numeric"
"350","cv013_1_26","Spouse ID of hhmember-26",0,"numeric"
"351","cv013_1_27","Spouse ID of hhmember-27",0,"numeric"
"352","cv013_1_28","Spouse ID of hhmember-28",0,"numeric"
"353","cv013_1_29","Spouse ID of hhmember-29",0,"numeric"
"354","cv013_1_30","Spouse ID of hhmember-30",0,"numeric"
"355","cv013_1_31","Spouse ID of hhmember-31",0,"numeric"
"356","cv013_1_32","Spouse ID of hhmember-32",0,"numeric"
"357","cv013_1_33","Spouse ID of hhmember-33",0,"numeric"
"358","cv013_1_34","Spouse ID of hhmember-34",0,"numeric"
"359","cv013_1_35","Spouse ID of hhmember-35",0,"numeric"
"360","cv013_2_1","Spouse ID of hhmember-1",0,"numeric"
"361","cv013_2_2","Spouse ID of hhmember-2",0,"numeric"
"362","cv013_2_3","Spouse ID of hhmember-3",0,"numeric"
"363","cv013_2_4","Spouse ID of hhmember-4",0,"numeric"
"364","cv013_2_5","Spouse ID of hhmember-5",0,"numeric"
"365","cv013_2_6","Spouse ID of hhmember-6",0,"numeric"
"366","cv013_2_7","Spouse ID of hhmember-7",0,"numeric"
"367","cv013_2_8","Spouse ID of hhmember-8",0,"numeric"
"368","cv013_2_9","Spouse ID of hhmember-9",0,"numeric"
"369","cv013_2_10","Spouse ID of hhmember-10",0,"numeric"
"370","cv013_2_11","Spouse ID of hhmember-11",0,"numeric"
"371","cv013_2_12","Spouse ID of hhmember-12",0,"numeric"
"372","cv013_2_13","Spouse ID of hhmember-13",0,"numeric"
"373","cv013_2_14","Spouse ID of hhmember-14",0,"numeric"
"374","cv013_2_15","Spouse ID of hhmember-15",0,"numeric"
"375","cv013_2_16","Spouse ID of hhmember-16",0,"numeric"
"376","cv013_2_17","Spouse ID of hhmember-17",0,"numeric"
"377","cv013_2_18","Spouse ID of hhmember-18",0,"numeric"
"378","cv013_2_19","Spouse ID of hhmember-19",0,"numeric"
"379","cv013_2_20","Spouse ID of hhmember-20",0,"numeric"
"380","cv013_2_21","Spouse ID of hhmember-21",0,"numeric"
"381","cv013_2_22","Spouse ID of hhmember-22",0,"numeric"
"382","cv013_2_23","Spouse ID of hhmember-23",0,"numeric"
"383","cv013_2_24","Spouse ID of hhmember-24",0,"numeric"
"384","cv013_2_25","Spouse ID of hhmember-25",0,"numeric"
"385","cv013_2_26","Spouse ID of hhmember-26",0,"numeric"
"386","cv013_2_27","Spouse ID of hhmember-27",0,"numeric"
"387","cv013_2_28","Spouse ID of hhmember-28",0,"numeric"
"388","cv013_2_29","Spouse ID of hhmember-29",0,"numeric"
"389","cv013_2_30","Spouse ID of hhmember-30",0,"numeric"
"390","cv013_2_31","Spouse ID of hhmember-31",0,"numeric"
"391","cv013_2_32","Spouse ID of hhmember-32",0,"numeric"
"392","cv013_2_33","Spouse ID of hhmember-33",0,"numeric"
"393","cv013_2_34","Spouse ID of hhmember-34",0,"numeric"
"394","cv013_2_35","Spouse ID of hhmember-35",0,"numeric"
"395","cv013_3_1","Spouse ID of hhmember-1",0,"numeric"
"396","cv013_3_2","Spouse ID of hhmember-2",0,"numeric"
"397","cv013_3_3","Spouse ID of hhmember-3",0,"numeric"
"398","cv013_3_4","Spouse ID of hhmember-4",0,"numeric"
"399","cv013_3_5","Spouse ID of hhmember-5",0,"numeric"
"400","cv013_3_6","Spouse ID of hhmember-6",0,"numeric"
"401","cv013_3_7","Spouse ID of hhmember-7",0,"numeric"
"402","cv013_3_8","Spouse ID of hhmember-8",0,"numeric"
"403","cv013_3_9","Spouse ID of hhmember-9",0,"numeric"
"404","cv013_3_10","Spouse ID of hhmember-10",0,"numeric"
"405","cv013_3_11","Spouse ID of hhmember-11",0,"numeric"
"406","cv013_3_12","Spouse ID of hhmember-12",0,"numeric"
"407","cv013_3_13","Spouse ID of hhmember-13",0,"numeric"
"408","cv013_3_14","Spouse ID of hhmember-14",0,"numeric"
"409","cv013_3_15","Spouse ID of hhmember-15",0,"numeric"
"410","cv013_3_16","Spouse ID of hhmember-16",0,"numeric"
"411","cv013_3_17","Spouse ID of hhmember-17",0,"numeric"
"412","cv013_3_18","Spouse ID of hhmember-18",0,"numeric"
"413","cv013_3_19","Spouse ID of hhmember-19",0,"numeric"
"414","cv013_3_20","Spouse ID of hhmember-20",0,"numeric"
"415","cv013_3_21","Spouse ID of hhmember-21",0,"numeric"
"416","cv013_3_22","Spouse ID of hhmember-22",0,"numeric"
"417","cv013_3_23","Spouse ID of hhmember-23",0,"numeric"
"418","cv013_3_24","Spouse ID of hhmember-24",0,"numeric"
"419","cv013_3_25","Spouse ID of hhmember-25",0,"numeric"
"420","cv013_3_26","Spouse ID of hhmember-26",0,"numeric"
"421","cv013_3_27","Spouse ID of hhmember-27",0,"numeric"
"422","cv013_3_28","Spouse ID of hhmember-28",0,"numeric"
"423","cv013_3_29","Spouse ID of hhmember-29",0,"numeric"
"424","cv013_3_30","Spouse ID of hhmember-30",0,"numeric"
"425","cv013_3_31","Spouse ID of hhmember-31",0,"numeric"
"426","cv013_3_32","Spouse ID of hhmember-32",0,"numeric"
"427","cv013_3_33","Spouse ID of hhmember-33",0,"numeric"
"428","cv013_3_34","Spouse ID of hhmember-34",0,"numeric"
